Image Name,Description,Download Count,Stars Count,Tags,Last Updated,Official Status
memcached,"Free & open source, high-performance, distributed memory object caching system.",1B+,2.3K,Databases & Storage,N/A,Updated 14 days ago,Official
nginx,Official build of Nginx.,1B+,10K+,Web Servers,N/A,Updated 17 days ago,Official
busybox,Busybox base image.,1B+,3.3K,Operating Systems,N/A,Updated 14 days ago,Official
alpine,A minimal Docker image based on Alpine Linux with a complete package index and only 5 MB in size!,1B+,10K+,Operating Systems,N/A,Updated a month ago,Official
ubuntu,Ubuntu is a Debian-based Linux operating system based on free software.,1B+,10K+,Operating Systems,N/A,Updated 17 days ago,Official
redis,"Redis is the world’s fastest data platform for caching, vector search, and NoSQL databases.",1B+,10K+,Databases & Storage,N/A,Updated 4 days ago,Official
postgres,The PostgreSQL object-relational database system provides reliability and data integrity.,1B+,10K+,Databases & Storage,N/A,Updated 18 days ago,Official
python,"Python is an interpreted, interactive, object-oriented, open-source programming language.",1B+,9.9K,Languages & Frameworks,N/A,Updated 16 days ago,Official
node,Node.js is a JavaScript-based platform for server-side and networking applications.,1B+,10K+,Languages & Frameworks,N/A,Updated 6 days ago,Official
httpd,The Apache HTTP Server Project,1B+,4.8K,Web Servers,N/A,Updated 18 days ago,Official
mongo,MongoDB document databases provide high availability and easy scalability.,1B+,10K+,Databases & Storage,N/A,Updated 10 days ago,Official
mysql,"MySQL is a widely used, open-source relational database management system (RDBMS).",1B+,10K+,Databases & Storage,N/A,Updated 19 days ago,Official
rabbitmq,RabbitMQ is an open source multi-protocol messaging broker.,1B+,5.2K,Message Queues,N/A,Updated 6 days ago,Official
traefik,"Traefik, The Cloud Native Edge Router",1B+,3.3K,Networking,N/A,Updated 7 days ago,Official
docker,Docker in Docker!,1B+,2.6K,Developer Tools,N/A,Updated an hour ago,Official
hello-world,Hello World! (an example of minimal Dockerization),1B+,2.3K,,N/A,Updated a month ago,Official
mariadb,"MariaDB Server is a high performing open source relational database, forked from MySQL.",1B+,5.9K,Databases & Storage,N/A,Updated 19 days ago,Official
openjdk,Pre-release / non-production builds of OpenJDK,1B+,4.0K,,N/A,Updated 3 hours ago,Official
golang,"Go (golang) is a general purpose, higher-level, imperative programming language.",1B+,5.0K,Languages & Frameworks,N/A,Updated 17 days ago,Official
registry,Distribution implementation for storing and distributing of container images and artifacts,1B+,4.1K,Databases & Storage,N/A,Updated 2 months ago,Official
ruby,"Ruby is a dynamic, reflective, object-oriented, general-purpose, open-source programming language.",1B+,2.3K,Languages & Frameworks,N/A,Updated 5 days ago,Official
wordpress,"The WordPress rich content management system can utilize plugins, widgets, and themes.",1B+,5.7K,Content Management System,N/A,Updated 6 days ago,Official
debian,Debian is a Linux distribution that's composed entirely of free and open-source software.,1B+,5.1K,Operating Systems,N/A,Updated 19 days ago,Official
php,"While designed for web development, the PHP scripting language also provides general-purpose use.",1B+,7.6K,Languages & Frameworks,N/A,Updated 7 days ago,Official
